date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
10:09:38	17482/17482	---M-Z	200	added ('OK')	text/html	date:Tue,%2008%20Jan%202019%2002:09:36%20GMT	https://new.landingi.com/remote-preview-frame/92df685523239f8a076e	C:/My%20Web%20Sites/selling%20a%20products%20demo/new.landingi.com/remote-preview-frame/92df685523239f8a076e.html	(from )
10:09:39	45/45	---M-Z	200	added ('OK')	text/html	date:Tue,%2008%20Jan%202019%2002:09:37%20GMT	https://new.landingi.com/robots.txt		(from )
10:09:39	94317/94317	---MCZ	200	added ('OK')	text/css	etag:W/%2287ab63c56d936e75083b6e976dd64347%22	https://styles.assets-landingi.com/assets/css/2.10-landend-base.css	C:/My%20Web%20Sites/selling%20a%20products%20demo/styles.assets-landingi.com/assets/css/2.10-landend-base.css	(from https://new.landingi.com/remote-preview-frame/92df685523239f8a076e)
10:09:39	84499/84499	---MCZ	200	added ('OK')	text/css	etag:W/%22d7391dc9fe55e519c25a649c0f363521%22	https://styles.assets-landingi.com/BdafeGbe/preview.css	C:/My%20Web%20Sites/selling%20a%20products%20demo/styles.assets-landingi.com/BdafeGbe/preview.css	(from https://new.landingi.com/remote-preview-frame/92df685523239f8a076e)
10:09:39	83/83	---M--	200	added ('OK')	binary/octet-stream	etag:%228b6305a5a0ac8362fddf0e7de3e52784%22	https://images.assets-landingi.com/19fdK0NK/bez_nazwy.png	C:/My%20Web%20Sites/selling%20a%20products%20demo/images.assets-landingi.com/19fdK0NK/bez_nazwy.png	(from https://new.landingi.com/remote-preview-frame/92df685523239f8a076e)
10:09:40	4955/4955	---MCZ	200	added ('OK')	application/x-javascript	etag:W/%22caae3dfb363221461dc59ab8dca8497b%22	https://old.assets-landingi.com/bootstrap/js/landend.bootstrap.min.js	C:/My%20Web%20Sites/selling%20a%20products%20demo/old.assets-landingi.com/bootstrap/js/landend.bootstrap.min.js	(from https://new.landingi.com/remote-preview-frame/92df685523239f8a076e)
10:09:41	5590/5590	---MCZ	200	added ('OK')	application/x-javascript	etag:W/%22d640fa844190900e6dce272031a1b1e7%22	https://old.assets-landingi.com/bootstrap/js/bootbox.min.js	C:/My%20Web%20Sites/selling%20a%20products%20demo/old.assets-landingi.com/bootstrap/js/bootbox.min.js	(from https://new.landingi.com/remote-preview-frame/92df685523239f8a076e)
10:09:41	171/171	---MCZ	200	added ('OK')	application/x-javascript	etag:W/%2295e56bf961e8f2902b6133a0be23c329%22	https://old.assets-landingi.com/js/landing.js	C:/My%20Web%20Sites/selling%20a%20products%20demo/old.assets-landingi.com/js/landing.js	(from https://new.landingi.com/remote-preview-frame/92df685523239f8a076e)
10:09:41	5124/5124	---MCZ	200	added ('OK')	application/javascript	etag:W/%229ce08884fae0f0b3e56256f51c51ce04%22	https://old.assets-landingi.com/assets/js/dist/landend/3285/landend.js	C:/My%20Web%20Sites/selling%20a%20products%20demo/old.assets-landingi.com/assets/js/dist/landend/3285/landend.js	(from https://new.landingi.com/remote-preview-frame/92df685523239f8a076e)
10:09:41	1241/1241	---MCZ	200	added ('OK')	application/javascript	etag:W/%2230d9f32d29a7f24ae5a2b999323aa424%22	https://old.assets-landingi.com/assets/js/landend/anchors/v02.js	C:/My%20Web%20Sites/selling%20a%20products%20demo/old.assets-landingi.com/assets/js/landend/anchors/v02.js	(from https://new.landingi.com/remote-preview-frame/92df685523239f8a076e)
